iso3,female,year,v08_type,v08_type_desc,median,score
SYR,1,2010,1,1: Foods & Beverages,13.8185628845274,0
SYR,1,2015,1,1: Foods & Beverages,14.032501383082,0
SYR,1,2018,1,1: Foods & Beverages,14.3932671503219,0
TUN,1,1990,1,1: Foods & Beverages,1.36001419230158,0
TUN,1,1995,1,1: Foods & Beverages,1.40894592256008,0
TUN,1,2000,1,1: Foods & Beverages,1.41134791107036,0
TUN,1,2005,1,1: Foods & Beverages,1.49885578435821,0
TUN,1,2010,1,1: Foods & Beverages,1.54426338986691,0
TUN,1,2015,1,1: Foods & Beverages,1.4794471721109,0
TUN,1,2018,1,1: Foods & Beverages,1.54405219266647,0
YEM,1,1990,1,1: Foods & Beverages,8.38621901246477,0
YEM,1,1995,1,1: Foods & Beverages,6.77674696622373,0
YEM,1,2000,1,1: Foods & Beverages,13.4945976967211,0
YEM,1,2005,1,1: Foods & Beverages,16.9705380220724,0
YEM,1,2010,1,1: Foods & Beverages,22.8728852555499,0
YEM,1,2015,1,1: Foods & Beverages,19.993774247009,0
YEM,1,2018,1,1: Foods & Beverages,20.2565274050023,0
