iso3,female,year,varnum,v06_type,v06_type_desc,median,upperci_95,lowerci_95,serving,s_lowerci_95,s_upperci_95,score
LBR,1,2015,6,1,1: Foods & Beverages,0.22388541270825257,5.28135427773336,1.46429646536665,0.094318002,0.052110195,0.18794855,0
LBR,1,2018,6,1,1: Foods & Beverages,0.1814589313649806,4.92361304337633,1.31723159964399,0.087161712,0.046859894,0.17515521,0
MAR,1,1990,6,1,1: Foods & Beverages,0.8677923065010393,8.51851567684596,2.12584180994799,0.15023193,0.075572051,0.30282673,0
MAR,1,1995,6,1,1: Foods & Beverages,0.35218739433711105,5.40597750350231,1.40034254044701,0.096479952,0.049745739,0.19204183,0
MAR,1,2000,6,1,1: Foods & Beverages,0.47639221203851,11.0020090832822,2.86232989923191,0.19445936,0.10157309,0.39041907,0
MAR,1,2005,6,1,1: Foods & Beverages,0.6203559800203218,13.025683525107,3.48369179574024,0.23777878,0.12357899,0.46206751,0
MAR,1,2010,6,1,1: Foods & Beverages,0.7854853950767475,19.5367569522903,5.36598070142185,0.36517078,0.1903505,0.69303852,0
MAR,1,2015,6,1,1: Foods & Beverages,0.6467596130123189,18.5806388274001,4.93864494154621,0.3415207,0.17519137,0.65912163,0
MAR,1,2018,6,1,1: Foods & Beverages,0.9132837018063708,27.2809944636683,7.7487063797722,0.53084391,0.27477682,0.9674111,0
OMN,1,1990,6,1,1: Foods & Beverages,0.34774285502314256,0.379826205464303,0.0869578460406593,0.0063783373,0.0031034206,0.013555539,0
OMN,1,1995,6,1,1: Foods & Beverages,0.3642786224716448,0.365702593802221,0.0820755994224865,0.0060997456,0.0029239615,0.013028236,0
OMN,1,2000,6,1,1: Foods & Beverages,0.7570679039537124,0.49661586151984,0.11739839138806,0.0084365364,0.0041749072,0.017660592,0
OMN,1,2005,6,1,1: Foods & Beverages,0.5827064717923799,9.16666143118416,2.34440832623709,0.16420236,0.083253138,0.32552063,0
OMN,1,2010,6,1,1: Foods & Beverages,0.6277511116608182,8.16876242626939,2.03898518528298,0.14326493,0.072432868,0.29018694,0
OMN,1,2015,6,1,1: Foods & Beverages,0.7969484118575152,22.1360501332892,5.81951629534066,0.40776372,0.20680584,0.78664005,0
OMN,1,2018,6,1,1: Foods & Beverages,0.9791125404473167,30.0154391661689,8.50719746929045,0.56856942,0.30242437,1.0670259,0
PAK,1,1990,6,1,1: Foods & Beverages,0.2120789718611233,8.14815765646158,1.0828095640042,0.10590675,0.038589079,0.2903834,0
PAK,1,1995,6,1,1: Foods & Beverages,0.25557158192385176,11.0557616916948,1.50413223781627,0.1464017,0.053585045,0.39386398,0
PAK,1,2000,6,1,1: Foods & Beverages,0.2363874993445485,9.01185794494041,1.20166756971769,0.11966231,0.042779192,0.32082087,0
PAK,1,2005,6,1,1: Foods & Beverages,0.1985626058977512,5.7524556516742,0.790258882867978,0.076583676,0.028103089,0.20456812,0
PAK,1,2010,6,1,1: Foods & Beverages,0.25926550814048543,9.52814393887623,1.25480810931977,0.12705109,0.044607472,0.33871824,0
PAK,1,2015,6,1,1: Foods & Beverages,0.2657445866847655,10.670894992328,1.39169791234324,0.13752148,0.049456216,0.37920737,0
PAK,1,2018,6,1,1: Foods & Beverages,0.22124761516215322,8.39234139510915,1.13481097959282,0.11155278,0.040327329,0.2982353,0
PSE,1,1990,6,1,1: Foods & Beverages,0.4730925604143742,9.01400271764848,2.29572052046806,0.1601447,0.081902266,0.32158411,0
PSE,1,1995,6,1,1: Foods & Beverages,0.50420312563614,11.2019658186717,2.94607654264816,0.20501621,0.10514192,0.39978465,0
PSE,1,2000,6,1,1: Foods & Beverages,0.5933865022247482,15.4612424147551,4.2035025576324,0.28583717,0.14985749,0.55120295,0
PSE,1,2005,6,1,1: Foods & Beverages,0.6316239633179646,15.8250636465122,4.28721588941631,0.29478315,0.15267862,0.56357062,0
PSE,1,2010,6,1,1: Foods & Beverages,0.9044873774863486,28.4208543890208,8.01729677659249,0.54556221,0.28531304,1.0114183,0
PSE,1,2015,6,1,1: Foods & Beverages,1.053723828991736,34.0938802997734,9.93383295065779,0.67656237,0.35351717,1.2133054,0
PSE,1,2018,6,1,1: Foods & Beverages,1.0436093845751395,33.7069536745112,9.83986632644534,0.6690461,0.34992412,1.1986825,0
QAT,1,1990,6,1,1: Foods & Beverages,0.49060254042025897,9.997468406452272,2.44240432842954,0.16970794,0.086980209,0.3560352,0
QAT,1,1995,6,1,1: Foods & Beverages,0.5289347940166595,12.7897113942169,3.08934304221377,0.21976127,0.10986283,0.45482615,0
QAT,1,2000,6,1,1: Foods & Beverages,0.6378392181528753,17.4320243750584,4.37278471696794,0.31114328,0.15544915,0.61969519,0
QAT,1,2005,6,1,1: Foods & Beverages,0.6681896887448933,18.5460859720876,4.4903161604339,0.32005295,0.15951389,0.65883076,0
QAT,1,2010,6,1,1: Foods & Beverages,0.9137368736110776,30.1640834285561,7.7777302960348,0.55594587,0.27600178,1.0704075,0
QAT,1,2015,6,1,1: Foods & Beverages,1.0312507565272255,35.6383205256009,9.265947240313032,0.66634637,0.3288129,1.2646672,0
QAT,1,2018,6,1,1: Foods & Beverages,1.0096820088777216,34.7502494606168,9.226341571261027,0.65015626,0.32729128,1.2327155,0
SAU,1,1990,6,1,1: Foods & Beverages,0.35728671878141555,4.18603531959458,1.03261986120925,0.07198742,0.03682667,0.14928798,0
SAU,1,1995,6,1,1: Foods & Beverages,0.39426725805942975,5.94787974408707,1.44980722371702,0.10205726,0.051631313,0.21181908,0
SAU,1,2000,6,1,1: Foods & Beverages,0.6050490418376879,11.4939174269113,2.89134010726446,0.20325965,0.10285806,0.40889069,0
SAU,1,2005,6,1,1: Foods & Beverages,0.5905379982808111,10.1962701817227,2.58983325524141,0.1815064,0.092033878,0.36234081,0
SAU,1,2010,6,1,1: Foods & Beverages,0.8900325944808063,19.933891551514,5.24033272209656,0.35941046,0.18615746,0.70813113,0
SAU,1,2015,6,1,1: Foods & Beverages,1.4182599456065508,41.2433851066334,12.0156924951885,0.82678813,0.42654216,1.4640889,0
SAU,1,2018,6,1,1: Foods & Beverages,1.409640634082994,42.3187059347836,12.7326398286519,0.86134756,0.4518325,1.5017284,0
SDN,1,1990,6,1,1: Foods & Beverages,0.30820022217823423,5.74868410120285,1.55395337174759,0.10209583,0.055379666,0.20487115,0
SDN,1,1995,6,1,1: Foods & Beverages,0.31752608222769463,5.52203266304932,1.49313686292713,0.098221593,0.053212292,0.19679375,0
SDN,1,2000,6,1,1: Foods & Beverages,0.34522969587146646,6.98739849609366,1.94316835647502,0.12605494,0.069225803,0.24892762,0
SDN,1,2005,6,1,1: Foods & Beverages,0.4614462068288643,11.8123771090225,3.35589718860859,0.21795727,0.11951201,0.42066869,0
SDN,1,2010,6,1,1: Foods & Beverages,0.6625177844922951,19.5435865508334,5.61530783982151,0.36574075,0.19990416,0.69574887,0
SDN,1,2015,6,1,1: Foods & Beverages,0.6777802550956119,21.0481918765498,5.93085061743586,0.38977447,0.2110623,0.74904597,0
SDN,1,2018,6,1,1: Foods & Beverages,0.7409270890898175,26.6686927109767,7.83505790442009,0.50816321,0.27872849,0.94872618,0
SYR,1,1990,6,1,1: Foods & Beverages,0.47644193097471865,9.0666491708174,2.32362527331676,0.16146138,0.082779668,0.32300138,0
SYR,1,1995,6,1,1: Foods & Beverages,0.5161885786900766,11.6093330586241,2.9731929928642,0.20612232,0.10580758,0.41314352,0
SYR,1,2000,6,1,1: Foods & Beverages,0.6079387884220497,15.8755152378447,4.21800751062739,0.28743705,0.15005362,0.56476396,0
SYR,1,2005,6,1,1: Foods & Beverages,0.639363979213516,16.2821911173704,4.33527760289565,0.30220518,0.1541706,0.57902527,0
SYR,1,2010,6,1,1: Foods & Beverages,0.897393061647431,27.4684216790524,8.02340726652034,0.54085726,0.2853274,0.97682863,0
SYR,1,2015,6,1,1: Foods & Beverages,1.0658793729359184,34.69697747794,10.2989647456941,0.68915278,0.36573029,1.232137,0
SYR,1,2018,6,1,1: Foods & Beverages,1.0556238002350424,34.4845605924844,10.0131235400199,0.67842603,0.35532731,1.2237246,0
TUN,1,1990,6,1,1: Foods & Beverages,0.2759821975832903,7.2160118936627,3.43607004934,0.17726171,0.12210626,0.25643256,0
TUN,1,1995,6,1,1: Foods & Beverages,0.284162374737787,7.1749499381684,3.41464397189751,0.17616214,0.1211726,0.25461143,0
TUN,1,2000,6,1,1: Foods & Beverages,0.37700311244034934,11.0676638198755,5.26068259473464,0.2727161,0.18648291,0.39233124,0
TUN,1,2005,6,1,1: Foods & Beverages,0.3291017362771369,7.73042161771282,3.66588574938594,0.18982179,0.12990382,0.27393416,0
TUN,1,2010,6,1,1: Foods & Beverages,0.3950987052478648,8.57350383148532,4.05411942905286,0.21048933,0.14366122,0.30380949,0
TUN,1,2015,6,1,1: Foods & Beverages,0.39931547796304456,9.92713762075517,4.68916519397103,0.24323617,0.16628245,0.35202613,0
TUN,1,2018,6,1,1: Foods & Beverages,0.37838790731005356,9.26498962157318,4.3820042630762,0.22672258,0.15533514,0.32842928,0
YEM,1,1990,6,1,1: Foods & Beverages,0.5050796247359508,4.19999023995306,0.922439418079875,0.069169112,0.032944266,0.14999965,0
YEM,1,1995,6,1,1: Foods & Beverages,0.40017430308733803,2.7088494541472,0.597898839807346,0.044613115,0.021345906,0.096710086,0
YEM,1,2000,6,1,1: Foods & Beverages,0.5960072934171582,8.11811745345122,1.83999024296312,0.13205834,0.065573424,0.28931281,0
YEM,1,2005,6,1,1: Foods & Beverages,0.5254941908904417,7.40489415403961,1.71059232866004,0.12452523,0.060918529,0.26370707,0
YEM,1,2010,6,1,1: Foods & Beverages,0.5318707788253113,5.18228476062617,1.2563107241823,0.089296669,0.044724483,0.18448859,0
YEM,1,2015,6,1,1: Foods & Beverages,0.3702259497554606,3.43965974083152,0.763763265254239,0.055597343,0.027180187,0.12240782,0
YEM,1,2018,6,1,1: Foods & Beverages,0.4083777135098141,7.04989753754777,1.61093033729945,0.11796649,0.057308085,0.25079677,0
